name,image,caption,author,country,language,series,genre,publisher,release_date,media_type,pages,isbn,isbn_note,oclc,preceded_by,followed_by,subject,published,pub_date,dewey,congress,image_size,cover_artist,audio_read_by,illustrator,image_caption,alt,title_orig,release_number,publisher2,english_pub_date,website,border,orig_lang_code,native_wikisource,wikisource,awards,ISBN,translator,english_release_date
The Dark World,File:TheDarkWorld.jpg,First book edition,"[[Henry Kuttner]], [[C. L. Moore]] (assumed)",United States,English,,"Science, fantasy",[[Ace Books]],1965 (first book publication),Print (Paperback),126,,,2707385,,,,,,,,,[[Gray Morrow]],,,,,,,,,,,,,,,,,
Shadow of the Dragon,Shadow of the Dragon.jpg,,[[Sherry Garland]],United States,English,,Novel,[[Harcourt Trade Publishers]],October 1993,Print (hardback & paperback),314,0-15-273532-1,,28501386,,,,,,,,,John Hanley,,John Hanley,,,,,,,,,,,,,,,
The Hampdenshire Wonder,File:The Hampdenshire Wonder.jpg,First edition,[[J. D. Beresford]],United Kingdom,English,,"Science, fiction, novel",[[Sidgwick & Jackson]],1911,Print (hardback & paperback),295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Henry Days,Colson Whitehead JohnHenryDays.jpg,First edition cover,[[Colson Whitehead]],United States,English,,"Historical, fiction, Novel",[[Doubleday (publisher)|Doubleday]] (HB) & [[Anchor Books]] (PB),"May 15, 2001",Print ([[Hardcover|Hardback]] & [[Paperback]]),400,0-385-49819-5,,,[[The Intuitionist]],[[The Colossus of New York (book)|The Colossus of New York]],,,,,,,,,,,,,,,,,,,,,,,,
Corduroy Mansions,Corduroy Mansions.jpg,First edition,[[Alexander McCall Smith]],United Kingdom,English,Corduroy Mansions,Fiction,[[Polygon Books|Polygon]],,Hardback,358,978-18469-7121-1,,,,[[The Dog Who Came in from the Cold]],The inhabitants of Corduroy Mansions,,1 Aug 2009,,,,,,,,,,,,,,,,,,,,,
The Chimney Sweeper's Boy,Image:Thechimneysweepersboy.jpg,First edition (UK),Barbara Vine ([[Ruth Rendell]]),United Kingdom,English,,"Crime, novel, Crime, Mystery, novel",[[Viking Press|Viking]] (UK)<br />[[Harmony Books|Harmony]] (US),26 March 1998,Print/Audiobook,352,0-670-87927-4,,40980304,[[The Brimstone Wedding]],[[Grasshopper (novel)|Grasshopper]],,,,823/.914 21,PR6068.E63 C47 1998c,,,,,,,,,,,,,,,,,,,
The Various,The Various cover.jpg,First edition cover,[[Steve Augarde]],United Kingdom,English,Touchstone Trilogy,"Children's, literature, Children's",[[David Fickling Books]],,,452,978-0-385-60474-1,,52324461,,[[Celandine (novel)|Celandine]],,,7 August 2003,,,,,,Steve Augarde,,,,,,,,,,,,,,,
Personal Recollections of Joan of Arc,Colectjoan.jpg,First edition cover,[[Mark Twain]],United States,English,,"Historical, fiction",[[Harper & Brothers]],1896,"Print (hardcover, paperback)",260,,,,,,,,,,,,,,[[Frank DuMond]],,,,,,,,,,,,,,,
The Land I Lost,The Land I Lost cover.jpg,Front cover,[[Quang Nhuong Huynh]],,English,,Autobiography,[[Harper & Row]],,Print,144,0-06-440183-9,,15188434,,,,,1982,959.7 21,DS559.92.C46 H88 1986,,,,[[Vo-Dinh Mai]],,,,,,,,,,,,,,,
The Principles of Scientific Management,"The Principles of Scientific Management, title page.jpg",Principles of Scientific Management'',[[Frederick Winslow Taylor]],,,,Monograph,Harper & Brothers,,,144,,,,,,[[Scientific management]],,1911,,,,,,,,,,,,,,,,,,,,,
The Commodore,File:The Commodore cover.jpg,First edition cover,[[C. S. Forester]],United Kingdom,English,[[Horatio Hornblower]],"Historical, novel",[[Michael Joseph (publisher)|Michael Joseph]],1945,Print ([[Hardcover|Hardback]] & [[Paperback]]),272,0-14-001116-1,,16550230,[[Flying Colours (novel)|Flying Colours]] (1938),[[Lord Hornblower]] (1946),,,,,,,,,,,,,,,,,,,,,,,,
Cruel Shoes,Cruel Shoes.jpg,,[[Steve Martin]],United States,English,,"Short, story, Humour, Humor, fiction, Absurdist, fiction",[[G. P. Putnam's Sons]],"1977 (limited edition), <br> June, 1979 (1st trade hardcover printing)",Print (hardback & paperback),179,0-399-12304-0,(trade hardcover 1st printing),105863285,,[[Pure Drivel]] (1998),,,,,,,,,,,,,,,,,,,,,,,,
The Tiger's Apprentice,The Tiger's Apprentice.jpg,First edition,[[Laurence Yep]],United States,English,''The Tiger's Apprentice'',fantasy,,,"Print (Hardback, Paperback)",184,978-0060010157,,,,Tiger's Blood,,2003 (HarperCollins),,,,,Winslow Pels,,,,,,,,,,,,,,,,,
The Alchymist's Cat,AlchymistsCat.jpg,First edition cover,[[Robin Jarvis]],United Kingdom,English,The Deptford Histories,Fantasy,Macdonald Young Books,1991,Print ([[Hardcover]] & [[Paperback]]),320,0-7500-0889-X,,28800221,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Storm Rising,Red storm rising.jpg,First edition cover,[[Tom Clancy]],United States,English,,"War, novel, Techno-thriller, Military, fiction",[[G.P. Putnam's Sons]],,"Print ([[Hardcover]], [[Paperback]])",656,0399131493,,,,,,,"August 7, 1986",,,,,,,,,,,,,,,,,,,,,
Brightly Burning,File:Brightly Burning.jpg,First edition,Alexa Donne,US,English,,"Young, adult, fiction",[[Houghton Mifflin Harcourt|HMH Books]],,print,400,978-1-328-94893-9,,,,The Stars We Steal,,,2018-03-01,,,,,,,,,,,,,https://alexadonne.com/books/brightly-burning/,,en,,,,,,
A Severe Mercy,File:A SEVERE MERCY.jpg,First edition,[[Sheldon Vanauken]],United States,English,,,[[Harper & Row]],,Print ([[hardcover]]),240,,,,,Under the Mercy (1985),,,1977,,,,,,,,,,,,,,,,,,,,,
Shin's Tricycle,Shins Tricycle.jpg,''Shin's Tricycle'' by Tatsuharu Kodama,Tatsuharu Kodama,United States (Japan),English,,"Children's, literature",Walker & Company,August 1995,Print (hardback),32,978-0802783752,,,,,,,,,,,,,Noriyuki Ando,,,,,,,,,,,,,,Kazuko Hokumen-Jones,
